ISFP,Brie Larson​,FF-Fi/Se-CP/S(B)
ISFP,Maisie Williams,FF-Fi/Se-CP/B(S)
ISFP,Simon Pegg​,FM-Fi/Se-CS/B(P)
ISFP,JP Sears​,FM-Fi/Se-CS/B(P)
ISFP,Jennifer Aniston,FM-Fi/Se-CP/B(S)
ISFP,David Chang​,MF-Fi/Se-CP/B(S)
ISFP,Sylvester Stallone,MM-Fi/Ni-SB/P(C)
INFP,Cassie Jaye​,FF-Fi/Si-SC/B(P)
INFP,Chris Evans​,FF-Fi/Ne-CP/S(B)
INFP,Anna Kendrick​,FF-Fi/Ne-CP/B(S)
INFP,Lisa Kudrow​,FF-Fi/Ne-CP/B(S)
INFP,Pete Holmes​,MF-Fi/Ne-CP/B(S)
INFP,Bo Burnham​,MM-Fi/Ne-CP/B(S)
ISTP,Chris Guillebeau,FF-Ti/Se-CS/P(B)
ISTP,Cal Newport​,FF-Ti/Se-CS/P(B)
ISTP,Marques Brownlee,FF-Ti/Se-CP/S(B)
ISTP,George Lucas​,FM-Ti/Ni-SC/P(B)
ISTP,David Allen​,MF-Ti/Ni-SB/C(P)
ISTP,Jon Jones​,MF-Ti/Se-CP/S(B)
ISTP,Henry Rollins​,MM-Ti/Ni-SB/P(C)
ISTP,Simon Cowell​,MM-Ti/Se-CP/S(B)
INTP,Elon Musk​,FF-Ti/Si-SC/P(B)
INTP,Gretchen Rubin​,FF-Ti/Si-SB/P(C)
INTP,Bill Gates​,FF-Ti/Ne-CS/P(B)
INTP,Tim Cook​,FF-Ti/Ne-CP/S(B)
INTP,Bob Lazar​,FF-Ti/Ne-CP/S(B)
INTP,Tony Hawk​,FM-Ti/Ne-CS/P(B)
INTP,​Sam Harris​,MF-Ti/Si-SC/B(P)
INTP,Jake Gyllenhaal,MF-Ti/Ne-CP/S(B)
ISFJ,Maggie Gyllenhaal,FF-Si/Fe-BS/C(P)
ISFJ,Brittany Snow,FF-Si/Fe-BP/C(S)
ISFJ,Lindsay DeFranco,FM-Si/Ti-SB/P(C)
ISFJ,Joel Osteen​,MF-Si/Fe-BS/P(C)
ISFJ,Sonia Sotomayor,MM-Si/Fe-BP/S(C)
ISFJ,Hannah Hart​,MM-Si/Fe-BP/C(S)
INFJ,Derren Brown​,FF-Ni/Fe-BP/C(S)
INFJ,Lisa Bilyeu​,FM-Ni/Fe-BS/P(C)
INFJ,Eugene Yang​,FM-Ni/Fe-BP/C(S)
INFJ,Jerry Seinfeld​,MF-Ni/Ti-SC/B(P)
INFJ,Casey Neistat​,MF-Ni/Ti-SB/P(C)
INFJ,Novak Djokovic,MF-Ni/Ti-SB/P(C)
